customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,Male,1,Yes,No,65,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),43.115893434844004,6138.282873417348,No
2,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,Yes,One year,Yes,Electronic check,38.76788354531186,716.2353945144596,No
3,Male,0,No,Yes,43,No,Yes,Fiber optic,Yes,No internet service,No,No,No,No internet service,Two year,No,Credit card (automatic),60.47690718937021,3951.5339998141003,No
4,Male,0,Yes,No,59,Yes,Yes,No,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,105.92846402241967,2468.298007007523,No
5,Female,0,Yes,No,15,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),107.89571012961427,6684.524842822564,No
6,Female,1,Yes,No,35,No,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,60.13135550472324,5945.244327802664,No
7,Male,1,No,No,28,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.75414221158617,4750.638677913651,No
8,Female,1,No,Yes,59,Yes,No,No,Yes,Yes,No,No internet service,Yes,No,One year,Yes,Mailed check,108.39399799981334,7350.420806152539,Yes
9,Female,1,Yes,No,6,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,42.73991089949978,5421.950931599038,Yes
10,Male,1,No,Yes,67,No,No phone service,Fiber optic,No internet service,No,No,No,Yes,No internet service,One year,No,Electronic check,40.07458740461032,2929.848833257416,No
11,Male,0,No,Yes,48,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),53.50467594260043,7964.182806251224,Yes
12,Male,0,Yes,No,56,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Two year,No,Mailed check,77.13850706614669,1222.0518492573071,No
13,Male,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,53.288039507264585,2980.5389666890655,No
14,Male,1,Yes,No,17,No,Yes,DSL,No internet service,Yes,No internet service,No,No,No,Two year,No,Credit card (automatic),66.58217283814268,7113.792865528224,No
15,Female,1,No,Yes,8,Yes,No,DSL,No,Yes,No,No,No internet service,No internet service,Two year,No,Credit card (automatic),67.40149239397569,352.645715795505,No
16,Male,1,No,No,16,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,46.886617847933955,2203.7683454859466,No
17,Female,1,No,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,112.20689109001898,706.187825997044,No
18,Female,0,No,No,9,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,One year,No,Credit card (automatic),106.93914500212435,7263.332166868033,No
19,Male,1,No,Yes,62,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No,Two year,No,Credit card (automatic),107.30783149164452,361.7897436543364,No
20,Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),34.36910443719618,3353.426342421634,No
21,Male,0,Yes,No,5,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,18.88418051727907,2407.41594860624,No
22,Male,0,Yes,Yes,69,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,42.55608052632749,3223.7711685733975,No
23,Male,1,No,No,68,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),28.610962460552066,6022.234707259939,No
24,Female,1,No,No,38,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,Two year,Yes,Credit card (automatic),85.75691732014762,938.3499870228009,No
25,Female,0,No,No,67,No,No phone service,No,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,27.372108514717038,4700.064639880817,No
26,Female,0,Yes,No,17,No,No phone service,No,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,36.25517622305348,5946.073206269257,Yes
27,Male,0,Yes,Yes,10,No,No phone service,DSL,No,Yes,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,21.974223418971953,1431.3172307656675,No
